GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races
1400000US45019000100,45019000100,"Census Tract 1, Charleston County, South Carolina",2645,2313,303,0,26,0,3,0
1400000US45019000200,45019000200,"Census Tract 2, Charleston County, South Carolina",1587,1540,22,0,7,0,8,10
1400000US45019000300,45019000300,"Census Tract 3, Charleston County, South Carolina",500,491,0,0,9,0,0,0
1400000US45019000400,45019000400,"Census Tract 4, Charleston County, South Carolina",2939,2384,415,0,100,0,6,34
1400000US45019000500,45019000500,"Census Tract 5, Charleston County, South Carolina",2174,2106,13,0,11,0,8,36
1400000US45019000600,45019000600,"Census Tract 6, Charleston County, South Carolina",1597,1148,335,0,101,0,0,13
1400000US45019000700,45019000700,"Census Tract 7, Charleston County, South Carolina",3059,2327,607,7,6,0,26,86
1400000US45019000800,45019000800,"Census Tract 8, Charleston County, South Carolina",1248,502,698,0,0,9,0,39
1400000US45019000900,45019000900,"Census Tract 9, Charleston County, South Carolina",1702,107,1580,8,0,0,0,7
1400000US45019001000,45019001000,"Census Tract 10, Charleston County, South Carolina",1890,613,1211,0,15,0,36,15
1400000US45019001100,45019001100,"Census Tract 11, Charleston County, South Carolina",2604,146,2458,0,0,0,0,0
1400000US45019001200,45019001200,"Census Tract 12, Charleston County, South Carolina",1299,40,1234,9,0,0,0,16
1400000US45019001300,45019001300,"Census Tract 13, Charleston County, South Carolina",1795,135,1655,0,0,0,0,5
1400000US45019001400,45019001400,"Census Tract 14, Charleston County, South Carolina",1010,6,1004,0,0,0,0,0
1400000US45019001500,45019001500,"Census Tract 15, Charleston County, South Carolina",1615,153,1452,0,0,0,0,10
1400000US45019001600,45019001600,"Census Tract 16, Charleston County, South Carolina",1776,357,1370,0,2,0,0,47
1400000US45019001700,45019001700,"Census Tract 17, Charleston County, South Carolina",1979,645,1221,4,0,0,8,101
1400000US45019001800,45019001800,"Census Tract 18, Charleston County, South Carolina",1899,1631,166,7,34,0,37,24
1400000US45019001901,45019001901,"Census Tract 19.01, Charleston County, South Carolina",3767,3121,531,19,36,0,36,24
1400000US45019001902,45019001902,"Census Tract 19.02, Charleston County, South Carolina",3799,2911,829,0,46,0,0,13
1400000US45019002002,45019002002,"Census Tract 20.02, Charleston County, South Carolina",6003,5112,691,0,91,0,14,95
1400000US45019002003,45019002003,"Census Tract 20.03, Charleston County, South Carolina",5773,2573,3160,11,0,0,9,20
1400000US45019002004,45019002004,"Census Tract 20.04, Charleston County, South Carolina",1879,1845,5,9,0,0,0,20
1400000US45019002005,45019002005,"Census Tract 20.05, Charleston County, South Carolina",5340,5104,154,29,0,0,29,24
1400000US45019002006,45019002006,"Census Tract 20.06, Charleston County, South Carolina",4221,3301,913,0,0,0,0,7
1400000US45019002007,45019002007,"Census Tract 20.07, Charleston County, South Carolina",3090,3048,18,0,12,0,0,12
